Teresa: O Corpo de Cristo;Teresa, el cuerpo de Cristo;"Teresa de Cepada y Ahumada, filha de um fidalgo de Ávila, não aceita seu papel como mulher em um mundo de homens. Ela não se contenta em ser apenas esposa e mãe. Ela sente que há algo mais. Ela quer escrever, ler, aprender. Na busca por esse ""algo mais"" de que sente falta, Teresa vai para um convento de clausura, mas sua decepção não poderia ser maior. Ela logo descobre que por trás das paredes do convento, reina o mesmo materialismo e frivolidade de que ela está tentando fugir. Teresa, então, decide iniciar uma cruzada baseada em oração e sacrifício, pela qual primeiro será considerada rebelde e louca, para então se tornar uma líder e, enfim, uma santa.";Drama;2007-03-09
365 Dias Finais;Kolejne 365 dni;A falta de confiança deixa a relação entre Laura e Massimo por um fio. Enquanto isso, Nacho usa de sua esperteza para afastá-los ainda mais.;Drama,Romance;2022-08-19
365 Dias: Hoje;365 dni: Ten dzień;"Em 365 Dias: Hoje, após os acontecimentos de 365 Dias, Laura Biel se casa com Don Massimo, o chefe da máfia siciliana que a sequestrou. Sua vida parece um conto de fadas: ela tem um marido amoroso, uma casa linda e um bebê a caminho. Mas Massimo tem muitos inimigos, e eles sabem que a melhor maneira de lhe causar dor é ferir aqueles que ama. Depois de um mal-entendido conjugal, Laura e sua melhor amiga, Olga, fogem da Sicília para a Polônia natal. Mas sem a proteção do marido, Laura é sequestrada por Marcelo ""Nacho"" Matos, filho do chefe da máfia rival, e levada para as Ilhas Canárias pela máfia espanhola. Agora Massimo moverá qualquer montanha para resgatá-la. Mas o que o chefe da máfia siciliana não espera é que Laura começa a ter sentimentos pelo seu raptor, lindo e extremamente perigoso, enquanto é mantida refém.";Drama,Romance;2022-04-27
Lamb Of God: Killadelphia;Lamb Of God: Killadelphia;"Part concert footage, part fly-on-the-wall video documentary of the ups and downs of a road tour, Lamb of God: Killadelphia could easily entertain the most stubborn of metal haters with its lively peek at the band at work and play between shows. Whether dealing with rental truck breakdowns, show delays, radio interviews, in-store appearances, late arrivals of equipment, or dazzled fans, the members of Lamb of God and their handful of assistants keep their cool with fluent wit, easygoing camaraderie, and unabashed romanticism (meeting up with band members' spouses is one of the highlights of Killadelphia). Meanwhile, Lamb of God's grinding, apocalyptic wall of sound, especially singer Randy Blythe's croaking, monster vocals, whip a Philadelphia crowd into a hellbound fury. Special features include three music videos, including an uncensored ""Now You've Got Something to Die For.""";Documentário,Musical;2005-01-01
Meu Primeiro Amor;My Girl;Vada Sultenfuss, uma garota de 11 anos, é obcecada com a morte, pois sua mãe morreu quando a garota nasceu e seu pai, Harry Sultenfuss, é um agente funerário que não lhe dá muita atenção. Vada é apaixonada por Jake Bixler, seu professor de inglês, e é muito amiga de Thomas J. Sennett, um garoto que é alérgico a tudo. Quando Harry contrata Shelly DeVoto, uma maquiadora, para os funerais e se apaixona por ela, Vada se sente rejeitada e quer fazer qualquer coisa para separá-los.;Comédia,Drama;1991-11-27
Pretty Guardian Sailor Moon Eternal: O Filme - Parte 2;劇場版 美少女戦士セーラームーンEternal 後編;A nova aventura acontece em abril, quando as cerejeiras florescem e Tóquio está em festa, celebrando o maior eclipse solar do século. A lua nova começa a tapar o sol, reduzindo gradualmente sua luz. Usagi e Chibi-Usa encontram Pegasus, que procura a donzela escolhida, capaz de romper o selo do Cristal Dourado. Enquanto isso, um misterioso grupo chamado Dead Moon Circus aparece na cidade, com o plano nefasto de espalhar pesadelos conhecidos como Lemures pelo mundo para roubar o domínio do Cristal de Prata sobre a lua e a Terra e, por fim, conquistar o universo todo.;Ação,Aventura,Animação,Comédia,Drama,Fantasia,Romance;2021-02-11
Frankenstein;Frankenstein;Primeira versão cinematográfica do clássico de Mary Shelley. O louco Dr. Victor Frankestein cria uma criatura que toma consciência de sua monstruosidade. Frankenstein, um jovem estudante de medicina, tentando criar o ser humano perfeito, cria um monstro disforme. Adoentado com o que fez, Frankenstein é consolado por sua noiva, mas em sua noite de núpcias é visitado pelo monstro. Uma luta sonha, mas o monstro, ao se ver no espelho, fica horrorizado e foge. Mais tarde, ele retorna, entrando no quarto da nova noiva e a encontra sozinha.;Fantasia,Horror,Ficção Científica;1910-03-18
Frankenstein;Frankenstein;A história se passa nos Estados Unidos de hoje, quando a detetive O´Connor está investigando uma série de horripilantes assassinos. As pistas a levam até uma figura misteriosa, Deucalião, criação original do Doutor Frankenstein que, através de experiências genéticas, tem-se mantido vivo nas sombras. O próprio doutor Victor Frankenstein, hoje conhecido como Victor Hélios está vivo e aperfeiçoando sua técnica de trazer vida aos inanimados. Suas criaturas, mais sofisticadas que Deucalião, estão em todos os setores da sociedade, sob o controle do mestre. Médico e monstro fizeram diferentes escolhas entre o bem e o mal. Agora, com a ajuda de Deucalião, a detetive O´Connor tentará apanhar Hélios e provar seus bizarros crimes. Mas ela terá que arriscar sua própria vida para fazer isso.;Drama,Horror,Mistério,Ficção Científica,Filme para TV;2004-10-09
